path	author	header	created	sphere    	topic	style	audience_age	audience_level    	audience_size	source	publication	publ_year    	medium	country	region	language
.\paper\plain\2017\10\29.txt	Super User	«Голос  моей России»	05.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1369	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\30.txt	Super User	«СПАРТАКИАДА  МЕДИКОВ ОБЪЕДИНЯЕТ  В СТРЕМЛЕНИИ К ЗДОРОВЬЮ»	05.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1370	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\31.txt	Super User	День поля	05.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1371	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\32.txt	Super User	ПОДДЕРЖИ «ВОДОКАНАЛ»!	05.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1372	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\33.txt	Super User	Дмитрий Медведев оценил представленные Андреем Бочаровым проекты по развитию мелиорации и переработке сельхозпродукции	05.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1373	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\34.txt	Super User	Признанный отличник охраны природы	05.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1374	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\35.txt	Super User	Доктор не бывает бывшим	05.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1375	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\36.txt	Super User	Не волнуйтесь: со всеми пенсиями разберутся!	05.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1376	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\37.txt	Super User	95 лет на страже здоровья страны   	05.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1377	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\38.txt	Super User	Волгоградская областная Дума  расширила перечень индивидуальных предпринимателей-льготников	05.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1378	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\39.txt	Super User	Леса Волгоградской области защищают от вредителей	05.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1379	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\40.txt	Super User	Даешь второй отпуск!	05.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1380	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\41.txt	Super User	И отрадно,  и досадно	05.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1381	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\42.txt	Super User	Медполис — с доставкой на дом	06.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1382	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\43.txt	Super User	Отшумела, отгуляла...	06.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1383	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\44.txt	Super User	А вы читали &quot;Хоперские байки&quot;?	06.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1384	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\45.txt	Super User	Теперь можно и с мужем	06.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1385	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\46.txt	Super User	Все правильно сделал...	06.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1386	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\47.txt	Super User	Не дожидаясь приговора...	06.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1387	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\48.txt	Super User	Про озеро школьное	06.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1388	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\49.txt	Super User	В Волгограде открылся интерактивный музей «Россия-Моя история»	06.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1389	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\50.txt	Super User	Где бывал, там и крал	06.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1390	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\51.txt	Super User	Под будущий урожай	06.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1391	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\52.txt	Super User	С  ЗАСЕДАНИЯ  АНТИТЕРРОРИСТИЧЕСКОЙ КОМИССИИ	06.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1392	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\53.txt	Super User	В Волгоградской области подведены итоги всероссийской акции «Неделя безопасности»	09.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1393	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\54.txt	Super User	Волгоградская область получает награды «Золотой осени — 2017»	09.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1394	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\55.txt	Super User	О гидроузле и никеле	09.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1395	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\56.txt	Super User	С возвращением	10.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1396	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\57.txt	Super User	Пора начинать взрослую жизнь	10.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1397	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\58.txt	Super User	Молодым везде дорога?	10.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1398	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\59.txt	Super User	Андрей Бочаров на международном форуме представил опыт Волгоградской области по развитию дорожно-транспортной сети	11.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1399	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\60.txt	Super User	Волгоградская область удостоена Гран-при выставки «Золотая осень — 2017»	11.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1400	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\61.txt	Super User	«КАКТУС-ИНФО»  ЖДЁТ ЮНКОРОВ	11.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1401	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\62.txt	Super User	Три дня и две ночи	11.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1402	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\63.txt	Super User	МЕРЫ ПО ЗАЩИТЕ ПРАВ ДОЛЬЩИКОВ ОБСУДИЛИ НА «ПАРЛАМЕНТСКОМ ЧАСЕ»  В ВОЛГОГРАДСКОЙ ОБЛАСТНОЙ ДУМЕ	11.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1403	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\64.txt	Super User	РЕГИОНАЛЬНЫЕ ПАРЛАМЕНТАРИИ РАЗРАБОТАЛИ НОВЫЙ АНТИТАБАЧНЫЙ ЗАКОН	11.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1404	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\65.txt	Super User	Человек дела	11.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1405	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\66.txt	Super User	Вознесенский сквер	11.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1406	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\67.txt	Super User	ДЕПУТАТЫ ВОЛГОГРАДСКОЙ ОБЛАСТНОЙ ДУМЫ ПРЕДЛАГАЮТ УСКОРИТЬ ПРИНЯТИЕ  ФЕДЕРАЛЬНОГО ЗАКОНА О ЗАЩИТЕ ЖИВОТНЫ	11.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1407	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\68.txt	Super User	Парламентарии простимулируют работу  муниципалитетов законодательно	12.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1408	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\69.txt	Super User	«Самая красивая страна»	12.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1409	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\70.txt	Super User	Электронных услуг все больше	12.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1410	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\71.txt	Super User	Пенсионеры вырываются вперед	12.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1411	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\72.txt	Super User	Не ударили у грязь лицом	12.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1412	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\73.txt	Super User	В дар библиотеке	12.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1413	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\74.txt	Super User	1 ОКТЯБРЯ — МЕЖДУНАРОДНЫЙ ДЕНЬ ПОЖИЛЫХ ЛЮДЕЙ	12.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1414	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\75.txt	Super User	Не время останавливаться	12.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1415	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\76.txt	Super User	Реализация проекта продолжается	12.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1416	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\77.txt	Super User	С заседания коллегии	12.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1417	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\78.txt	Super User	5 октября — День сотрудников уголовного розыска	12.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1418	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\79.txt	Super User	В столкновении на перекрестке	12.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1419	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\80.txt	Super User	Урюпинская тушенка — это тоже бренд	13.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1420	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\81.txt	Super User	Ехала б я поездом...	13.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1421	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\82.txt	Super User	Готовь печь летом!	13.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1422	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\83.txt	Super User	Равные возможности	13.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1423	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\84.txt	Super User	ЗАГС возвращается домой	13.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1424	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\85.txt	Super User	Чтоб запомнилось	13.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1425	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\86.txt	Super User	5 октября — День учителя в России	16.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1426	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\87.txt	Super User	Лаврухины	16.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1427	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\88.txt	Super User	Сельский учитель	16.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1428	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\89.txt	Super User	Третьяковка приехала к нам!	16.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1429	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\90.txt	Super User	По лесам, полям, и балкам	16.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1430	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\91.txt	Super User	В закромах и в арсенале	16.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1431	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\92.txt	Super User	На сходе	16.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1434	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\93.txt	Super User	История одного сквера	16.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1435	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\94.txt	Super User	В Волгограде стартовал конкурс «#Я_Победитель»	16.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1436	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\95.txt	Super User	Корнями из прошлого	16.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1437	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\96.txt	Super User	Владмир Попков: &quot;Только развивая культуру, общество движется вперед&quot;	16.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1438	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\97.txt	Super User	В Волгоградской области на развитие животноводства направляются средства грантов	18.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1439	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\98.txt	Super User	День открытых дверей в МФЦ	18.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1440	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\99.txt	Super User	Идет осенний призыв	18.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1441	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\100.txt	Super User	Не останавливаться на достигнутом	18.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1442	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\101.txt	Super User	&quot;Юнармия&quot;: первые шаги	18.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1443	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\102.txt	Super User	Платить по счетам	18.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1444	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\103.txt	Super User	Проект — под контролем общественности	18.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1445	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\104.txt	Super User	Дню учителя посвящалось...	18.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1446	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\105.txt	Super User	Осенние достижения	18.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1447	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\106.txt	Super User	Вся жизнь — рядом с книгой	18.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1448	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\107.txt	Super User	Храни Господи, град сей и люди твоя!	18.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1449	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\108.txt	Super User	Здесь хочется жить	18.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1450	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\109.txt	Super User	&quot;Диспансеризация выходного дня&quot;	18.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1451	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\110.txt	Super User	Как не отравиться грибами	18.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1452	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\111.txt	Super User	Если укусила змея	18.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1453	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\112.txt	Super User	Парламентарии –  об основных итогах работы	18.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1454	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\113.txt	Super User	Председатель экосовета при Волгоградской  областной думе избрана делегатом  Всероссийского съезда	18.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1455	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\114.txt	Super User	Законы работают на развитие  экономики региона	18.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1456	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\115.txt	Super User	Южно-Российская парламентская ассоциация  укрепляет свои позиции	18.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1457	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\116.txt	Super User	Андрей Бочаров принял участие в выездном заседании оперативной рабочей группы Минстроя России	19.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1458	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\117.txt	Super User	В Волгоградской области создают региональный распределительный центр	19.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1459	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\118.txt	Super User	Будни местных органов власти	19.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1460	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\119.txt	Super User	Деревья... из бумаги	19.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1461	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\120.txt	Super User	Если не пришло уведомление о налоге	19.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1462	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\121.txt	Super User	Как сократить очереди	19.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1463	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\122.txt	Super User	Взносы на капремонт многоквартирного жилья  в Волгоградской области повышаться не будут	19.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1464	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\123.txt	Super User	Из Румынии походом	20.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1466	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\124.txt	Super User	На кого стоит равняться	20.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1467	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\125.txt	Super User	Москвичи	20.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1468	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\126.txt	Super User	&quot;По вере вашей да будет вам&quot;	20.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1469	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\127.txt	Super User	В столкновении с прицепом	20.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1470	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\128.txt	Super User	Чемпионат по мини-футболу	20.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1471	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\129.txt	Super User	Если у вас есть оружие...	20.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1472	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\130.txt	Super User	Дело мастера боится	20.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1473	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\131.txt	Super User	Турмаршруты волгоградского региона — в финале Всероссийской туристской премии	23.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1474	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\132.txt	Super User	Медаль за масло	24.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1475	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\133.txt	Super User	Отметили лучших дорожников	24.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1476	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\134.txt	Super User	Наши на &quot;Поле чудес&quot;	24.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1477	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\135.txt	Super User	Опубликованны результаты независимой оценки	24.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1478	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\136.txt	Super User	Все только начинается!	25.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1479	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\137.txt	Super User	К науке нет широкой столбовой дороги	25.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1480	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\138.txt	Super User	Чествуем пожилых	25.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1481	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\139.txt	Super User	Справка или удостоверение?	25.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1482	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\140.txt	Super User	О федеральной социальной доплате	25.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1483	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\10\141.txt	Super User	Соблюдать, чтобы выжить	25.10.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1484	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
